Name,freq
Luna,2
Edgar,18
Gloria,1
Kiara,4
Zachary,1
Kaiea,1
Desiree,1
Leila,1
Haruyo,6
Rush,1
Hillary,1
Carolyn,2
Chiyono,1
Kathy,3
Hanayo,2
Erick,1
Lily,2
Ginger,17
Roberta,1
Fujie,1
Rosie,2
Kaizen,1
Beverly,4
Miya,1
Kori,3
Keli,1
Keola,7
Becky,1
Creighton,1
Arya,1
Julian,1
Kay,1
Melvyn,1
Itsuo,1
Eliana,1
Bryan,1
Marnie,1
Zackary,1
Dara,4
Genesis,1
Aaliyah,1
Zion,1
Darien,1
Sophie,1
Malik,1
Melvin,9
Ken,1
Tricia,1
Lopaka,1
Yuriko,1
['Kaipo'],31
Kaikane,1
Atsushi,1
Kiyoto,4
Kahealani,1
Yasmine,2
Glen,4
Gianna,2
Kimo,2
Emmett,1
Bret,1
Kaylie,1
Dahlia,1
Iwalani,1
Nora,1
['Kawika'],3
Kaylee,2
Bianca,7
Crystal,2
Mathew,8
Devan,1
Lambert,1
Fannie,2
Cullen,4
Georgina,1
Lane,1
Rachael,2
Alivia,3
Kenny,1
Aloysius,1
Benjamin,1
Emmanuel,1
Lorrin,1
Aydan,1
Larry,35
Kanji,1
Alicia,1
Kaily,1
Jonas,1
Emily,2
Bernadine,1
Blair,2
Iris,1
Koon,4
Carole,1
Hina,1
Misao,1
Asia,1
Nani,5
Apollo,1
Asao,2
Tiani,13
Maya,1
Doreen,1
Alaina,6
Blaine,1
Elsie,1
Christine,1
Shyla,4
Ruben,3
Kaisen,1
Janette,1
Masashi,1
Shaelynn,4
Rebecca,5
Shiro,1
Ashlee,1
Keani,3
Ira,2
['Konane'],8
Jeffrey,1
Juliette,1
Rhiannon,2
Alden,1
Kapono,1
Ellsworth,1
Kelson,1
Kyrie,8
['Palani'],127
Andres,1
Wendell,1
Morris,2
Cecilia,1
Chantel,2
Trenton,1
Reggie,1
Brian,1
Dane,1
Mckenna,1
Perry,2
Skyler,3
Kai,1
Michiko,1
Darcy,1
Leonidas,1
Maika,1
Rhonda,2
Chris,1
Laverne,1
Tsuruyo,2
Esperanza,1
Wayde,1
Nohealani,1
Stacie,1
Jersey,2
Tia,1
Brendan,4
Manuel,1
Donny,1
Silas,1
Latasha,1
Kalei,2
Adam,4
Kalia,3
Lori,1
Liane,1
Mabel,1
Kip,2
Michio,1
Tyler,1
Maverick,1
['Hiapo'],1
Yoko,2
Hokulani,1
Keri,4
Sueno,1
Kiyoko,1
Faye,1
Masami,1
Shanna,1
Royden,1
Ainsley,1
Kingston,1
Jean,1
Andre,1
Kaile,2
Harvey,1
Brenton,1
Fumiko,1
['Keawe'],4
Benedict,2
Amber,4
Georgia,1
Kyson,1
Herman,1
Stanley,2
Jolie,1
Luke,1
['Kapua'],4
Gertrude,1
Mathias,2
Damien,2
Laurene,1
Wendi,1
Brady,1
Laraine,2
Macy,2
Taj,1
Hilary,1
Kenji,1
Priscilla,1
Grant,1
Serenity,1
Fumie,1
