Name,freq
Name,1
Ailana,1
Akau,5
Olina,2
A'ala,3
A'ia'i,92
Ahe,1
Ahonui,1
Ahuahu,4
Ailani,2
Ainakea,2
Akahi,1
Akamu,1
Akau,1
Akiliano,1
Akoni,1
Alaka'i,1
Alamea,5
Alana,1
Alapai,1
Alaula,1
Alebana,1
Alekanekeio,1
Ali'ikai,1
Alika,1
Alo,1
Aloha,1
Alohi,1
Aloiki,2
Amosa,1
Anela,1
Ano,1
Anuenue,2
Aolani,3
Apekalmoa,1
Apela,3
Apikaila,1
Aukai,1
Edena,1
Ekewaka,1
Eleu,1
Haleakala,1
Hali'a,1
Hanohano,1
Haoa,1
Hauoli,1
Havika,2
Heiau,1
Hema,7
He pohaku,1
Hiapo,4
Hoʻomana,1
Ikaika,27
Iki,2
Inoa,1
Iokepa,3
Iolana,1
Iolani,1
Io lani,1
Ionakana,1
Ka'ahumanu,1
Ka'eo,1
Kahale,1
Kahikū,1
Ka Hiwa,1
Kaholo,1
Kai,1
Kaia,94
Kailani,1
Kaili,1
Kailua,1
Kaimana,3
Kainalu,1
Kainoa,3
Kaipo,80
Kalākaua,1
Kalama,1
Kalani,2
Kalea,2
Kalena,1
Kaleo,1
Kamea,1
Ka mea ʻimi,1
Kamehameha,1
Kanakamana,3
Kanani,1
Kane,1
Kanoa,8
Kapu,1
Kapua,1
Kaulana,4
Kawika,1
Ke'ala,13
Keaka,1
Kealakekua,1
Kealoha,1
Keandra,5
Keawe,1
Keilani,7
Kekapa,1
Kekoa,1
Keola,1
Keona,1
Keone,103
Kiele,2
Kimo,7
Kimokea,1
Koa,2
Koa ikaika,1
Konane,1
Koukakala,1
Ku`u Hoaloha `Oi,14
Ku`u Maka,1
KuLopaka,1
Kumulāʻau,2
La,1
Laka,1
Lani,1
Lani-kai,3
Lei,3
Leilani,1
Lili'uokalani,1
Lokela,1
Lokelani,1
Lono,1
Lulua 'ina,1
Mahi'ai,1
Mahina,1
Māhoe,1
Maka,1
Makana,1
Makani,1
Makaʻala,5
Malie,1
Malu,1
Mamo,1
Mana,7
Mana'o,1
Manu,1
Meka,1
Mele,3
Mililani,1
Mino'aka,1
Moana,5
Na'au,1
Nahele,1
Nalani,1
Nani,1
Nani kōkī,1
Nikolao,1
Noelani,2
Nohea,1
Oliana,3
Oliwa,1
Onaona,7
Pakelika,1
Palani,1
Palila,2
Pele,1
Peni,2
Pikake,4
Pilialoha,1
Pōhaku,1
Polunu,1
Pua,3
Pualani,1
Pukalani,4
Pule,1
Punahele,1
Roselani,1
Ualoheke Akua,5
Uluwehi,1
Wai nani,1
Wena,1
Lee,2
Wong,1
Kim,1
Young,2
Smith,2
Chang,1
Nakamura,2
Chun,1
Ching,1
Lau,3
Higa,8
Yamamoto,2
Lum,1
Tanaka,7
Johnson,1
Oshiro,1
Brown,4
