name,misspellings
Urban Honolulu,"['Urban Yonolulu', 'Urban Homolulu', 'Urban Honooulu', 'Urban Bonolulu', 'Urban Honoluli']"
East Honolulu,"['East Hobolulu', 'Dast Honolulu', 'East Honilulu', 'Easy Honolulu', 'Dast Honolulu']"
Hilo,"['Hulo', 'Hiko', 'Hioo', 'Holo', 'Hilp']"
Pearl City,"['Pwarl City', 'Pearl Ciry', 'Peatl City', 'Pearl Citu', 'Peqrl City']"
Waipahu,"['Waipahy', 'Qaipahu', 'Waipanu', 'Wzipahu', 'Waipahy']"
Kailua CDP,"['Kailya CDP', 'Kaipua CDP', 'Kailua CDO', 'Kzilua CDP', 'Kailua CDL']"
Kaneohe,"['Kaneihe', 'Kaneoge', 'Kaneohr', 'Kajeohe', 'Kanelhe']"
Kahului,"['Kahuluo', 'Mahului', 'Kahupui', 'Kahilui', 'Kahulii']"
Mililani Town,"['Molilani Town', 'Mililabi Town', 'Mikilani Town', 'Mililano Town', 'Milikani Town']"
Ewa Gentry,"['Ewa Genyry', 'Ewa Gentty', 'Ewa Gemtry', 'Ewa Gwntry', 'Ewa Gebtry']"
Kailua,"['Kaklua', 'Kaipua', 'Jailua', 'Kailus', 'Iailua']"
Kihei,"['Iihei', 'Mihei', 'Mihei', 'Kkhei', 'Kiheo']"
Kapolei,"['Kapokei', 'Kalolei', 'Kapoldi', 'Kapoleo', 'Kapolek']"
Mililani Mauka,"['Milolani Mauka', 'Mililahi Mauka', 'Mililabi Mauka', 'Mililano Mauka', 'Mililani Mquka']"
Makakilo,"['Makaiilo', 'Makakill', 'Jakakilo', 'Jakakilo', 'Mamakilo']"
Schofield Barracks,"['Schofoeld Barracks', 'Schofield Barfacks', 'Schofielf Barracks', 'Svhofield Barracks', 'Schofielr Barracks']"
Wailuku,"['Wailiku', 'Wailuju', 'Wailuky', 'Wailjku', 'Wailulu']"
Wahiawa,"['Wahiasa', 'Wahoawa', 'Eahiawa', 'Wwhiawa', 'Sahiawa']"
Ocean Pointe,"['Pcean Pointe', 'Oceaj Pointe', 'Oceam Pointe', 'Ocean Pointr', 'Ocean Poonte']"
Halawa,"['Balawa', 'Halawq', 'Yalawa', 'Halwwa', 'Balawa']"
Royal Kunia,"['Royal Lunia', 'Royql Kunia', 'Royql Kunia', 'Royal Kujia', 'Rlyal Kunia']"
Ewa Beach,"['Dwa Beach', 'Ewa Beavh', 'Wwa Beach', 'Ewa Beacy', 'Ewa Beacg']"
Waimalu,"['Eaimalu', 'Saimalu', 'Waomalu', 'Waimapu', 'Qaimalu']"
Lahaina,"['Lqhaina', 'Lahains', 'Lahsina', 'Labaina', 'Lzhaina']"
Waianae,"['Waiamae', 'Waiwnae', 'Waiamae', 'Waiajae', 'Wzianae']"
Maili,"['Mailk', 'Maoli', 'Jaili', 'Kaili', 'Mauli']"
Nanakuli,"['Najakuli', 'Nanakjli', 'Najakuli', 'Nanaluli', 'Nanakuoi']"
Kaiminani,"['Iaiminani', 'Kaimibani', 'Kaominani', 'Kziminani', 'Jaiminani']"
Kaneohe Base,"['Kanrohe Base', 'Kwneohe Base', 'Kanwohe Base', 'Kaneohe Gase', 'Kaneohd Base']"
Waimea CDP,"['Wzimea CDP', 'Waimda CDP', 'Wwimea CDP', 'Saimea CDP', 'Waimes CDP']"
Hawaiian Paradise Park,"['Hawaiian Paradise Pwrk', 'Yawaiian Paradise Park', 'Hawaiian Paraeise Park', 'Hawaiian Paradise Paek', 'Hawaiian Pafadise Park']"
Waihee-Waiehu,"['Waihee-Waiehj', 'Waihwe-Waiehu', 'Waihee-Waiehy', 'Qaihee-Waiehu', 'Waihee-Wziehu']"
Waipio,"['Wzipio', 'Waupio', 'Wzipio', 'Waioio', 'Waipii']"
Makaha,"['Nakaha', 'Makqha', 'Makzha', 'Jakaha', 'Malaha']"
