Name,freq
Ailana,2
Akau,1
Olina,1
A'ala,2
A'ia'i,1
Ahe,1
Ahonui,1
Ahuahu,1
Ailani,4
Ainakea,1
Akahi,5
Akamu,1
Akau,7
Akiliano,6
Akoni,4
Alaka'i,11
Alamea,10
Alana,1
Alapai,1
Alaula,2
Alebana,2
Alekanekeio,1
Ali'ikai,1
Alika,1
Alo,2
Aloha,1
Alohi,6
Aloiki,1
Amosa,1
Anela,1
Ano,1
Anuenue,1
Aolani,2
Apekalmoa,1
Apela,1
Apikaila,1
Aukai,37
Edena,1
Ekewaka,3
Eleu,1
Haleakala,1
Hali'a,2
Hanohano,3
Haoa,1
Hauoli,1
Havika,1
Heiau,4
Hema,2
He pohaku,1
Hiapo,9
HoÊ»omana,1
Ikaika,2
Iki,2
Inoa,1
Iokepa,3
Iolana,1
Iolani,2
Io lani,1
Ionakana,1
Ka'ahumanu,1
Ka'eo,3
Kahale,1
KahikÅ«,12
Ka Hiwa,3
Kaholo,18
Kai,1
Kaia,1
Kailani,1
Kaili,3
Kailua,14
Kaimana,22
Kainalu,1
Kainoa,15
Kaipo,3
KalÄkaua,2
Kalama,1
Kalani,6
Kalea,2
Kalena,1
Kaleo,1
Kamea,1
Ka mea Ê»imi,11
Kamehameha,1
Kanakamana,1
Kanani,1
Kane,1
Kanoa,1
Kapu,2
Kapua,1
Kaulana,3
Kawika,3
Ke'ala,1
Keaka,1
Kealakekua,2
Kealoha,1
Keandra,1
Keawe,1
Keilani,1
Kekapa,2
Kekoa,2
Keola,1
Keona,3
Keone,1
Kiele,1
Kimo,1
Kimokea,1
Koa,1
Koa ikaika,12
Konane,1
Koukakala,3
Ku`u Hoaloha `Oi,3
Ku`u Maka,1
KuLopaka,15
KumulÄÊ»au,38
La,4
Laka,4
Lani,1
Lani-kai,1
Lei,1
Leilani,1
Lili'uokalani,6
Lokela,1
Lokelani,1
Lono,2
Lulua 'ina,2
Mahi'ai,1
Mahina,3
MÄhoe,1
Maka,1
Makana,1
Makani,1
MakaÊ»ala,1
Malie,6
Malu,2
Mamo,9
Mana,1
Mana'o,4
Manu,2
Meka,2
Mele,2
Mililani,1
Mino'aka,30
Moana,1
Na'au,5
Nahele,1
Nalani,1
Nani,1
Nani kÅkÄ«,13
Nikolao,1
Noelani,1
Nohea,1
Oliana,1
Oliwa,1
Onaona,1
Pakelika,1
Palani,1
Palila,2
Pele,1
Peni,2
Pikake,1
Pilialoha,1
PÅhaku,2
Polunu,1
Pua,1
Pualani,1
Pukalani,1
Pule,1
Punahele,1
Roselani,1
Ualoheke Akua,2
Uluwehi,1
Wai nani,5
Wena,1
34th Ave,1
35th Ave,1
36th Ave,3
37th Ave,1
38th Ave,1
39th Ave,1
40th Ave,3
4th St,1
68 Mile Rd,4
8 1/2 Mi Camp Rd,2
A'eloa,5
A-1 Lot St,2
Aa St,3
Aina Kaha Pl,1
Akahi Ave,1
Akala Rd,1
Akana Pl,2
Akasaki Rd,4
Akoni Pule Hwy,2
Alahaki Rd,2
Alapai Point Rd,1
Alii Dr,1
Ama Rd N,3
Amepela Rd,1
Anapuka Ln,1
Anuenue Wawae Rd,2
Attoa Rd,3
Au Moku Pl,5
Aulii St,1
Aumoana St,1
Aviation Trail,1
Awa Pae Pl,1
Awa Rae Loop,1
Awapuhi,1
Awini Trail,1
Banyan Tree Rd,1
Beers Rd,1
Bobcat Trail,2
Camp Rd,1
Cane Haul Rd,5
Cavalry Rd,47
Center Rd,1
Chain Of Craters Rd,1
Chin Chuck Rd,2
Cinder Rd,1
Cissy Rd,1
Craterrim Trail,1
Donahue Rd,31
Eha Pl,1
Ekolu Pl,1
Elua,1
Engineer Trail,1
Enoka Pl,1
G Rd,3
Government Rd,2
Govt Main Rd,5
Greensbank Rd,1
Haina Rd,1
Hale Ct,1
Haleola Pl,8
Halepiula Rd,1
Hao Springs Rd,1
Haul Cane Rd,3
Hawaii Belt Rd,1
Hawi Rd,1
Hekau Pl,5
Hihio St,1
Hoapili St,1
Hokuao St,2
Holo Kula Pl,1
Holokai St,1
Holomoku Pl,1
Holowai,4
Homestead Rd,58
Honamalino Rd,1
Hook Rd,1
Hoolauna Pl,1
Hoolokahi St,20
Hualalai Rd,1
Huanu Rd,1
Huehue Ranch Rd,15
Huina Rd,1
Hulukapuna St,3
Hune-kai St,5
Hwy 11,1
Hwy 137,1
Hwy 180,1
Hwy 250,2
Hwy 270,2
Ihilani Pl,1
Iki Rd,2
Ilikini Rd,1
Imako Pl,3
Infantry Rd,1
Jardine Rd,5
Ka Nani Way,4
Kaala Rd,1
Kaalaiki Rd,1
Kaaliali Trail,2
Kaalualu Waiohinu Rd,2
Kaao Rd,1
Kaauhuhu,1
Kaauhuhu Rd,15
Kaawalii Rd,1
Kahala St,3
Kahawai Rd,1
Kahi St,1
Kahili St,3
Kahua Pl,1
Kahuku Ranch Rd,1
Kai Kane Loop,1
Kai Kane Rd,6
Kai Ki St,1
Kai Piha St,3
Kaihalulu St,1
Kaihiaku St,13
Kailopa St,1
Kainaliu Beach Trail,1
Kainoa Rd,1
Kaiwiki-homestead Rd,1
Kala Pl,2
Kalaeolo St,1
Kalai Wa'a Pl,1
Kalakau Pl,1
Kalakau St,4
Kalama Pl,1
Kalani Honua,1
Kale Hua St,1
Kaleponi Dr,4
Kalokoi,1
Kalopa,5
Kalopa Lower Rd,2
Kalopa Mauka Rd,1
Kamalei Pl,24
Kamaoa Dr,1
Kamehameha Hwy,1
Kamikina St,3
Kamoamoa Hmstd Rd,113
Kanaka Ln,1
Kaohe Rd,2
Kaohe St,1
Kaoke Pl,1
Kapana Rd,1
Kapana St,1
Kapanaia Rd,1
Kapele Rd,4
Kapika St,1
Kapiko Pl,2
Kapohanalu St,1
Kapoho Kai St,1
Kapoho Kalapana Rd,3
Kau Wela Pl,13
Kaua Rd,1
Kauakahi Pl,15
Kauilani Rd,2
Kaumalumalu Dr,1
Kaunanano Rd,2
Kaupulehu Dr,1
Kawaihae Rd,3
Kawaihae Waimea Rd,1
Kawaihae-mahukona Rd,1
Kawela Pl,6
Kearu Rd,2
Keekee Rd,1
Kekoa Camp Rd,1
Kekoa Rd,1
Kekuhaupio Rd,2
Keokea Beach Rd,1
Keokea Loop,1
Ki Pl,3
Ki'eki'ena,2
Ki'i Pl,1
Kia Kahi Pl,1
Kia Kahi St,1
Kia Lua St,3
Kia Manu,1
Kialua Pl,1
Kii Nani Pl,2
Kikiao St,2
Kila Pl,1
Kilo Makani Pl,2
Kilo Moana Pl,1
Kilohana St,2
Kipuka Rd,1
