name,misspellings
Ailana,"['Aklana', 'Ailaba', 'Ailanz', 'Silana', 'Aolana']"
Akau,"['Akai', 'Skau', 'Akqu', 'Alau', 'Akwu']"
Olina,"['Olija', 'Oluna', 'Olkna', 'Olinq', 'Olinz']"
A'ala,"[""W'ala"", ""W'ala"", ""A'ala"", ""W'ala"", ""A'ala""]"
A'ia'i,"[""A'is'i"", ""A'ka'i"", ""A'ia'i"", ""A'ka'i"", ""A'ia'o""]"
Ahe,"['Qhe', 'Ahr', 'Ahr', 'Ahw', 'Ahd']"
Ahonui,"['Ahlnui', 'Zhonui', 'Ahinui', 'Ahonii', 'Qhonui']"
Ahuahu,"['Anuahu', 'Ahuanu', 'Ajuahu', 'Whuahu', 'Whuahu']"
Ailani,"['Aipani', 'Ailabi', 'Ailqni', 'Aulani', 'Aulani']"
Ainakea,"['Qinakea', 'Winakea', 'Ainakez', 'Ainakez', 'Ainakda']"
Akahi,"['Ajahi', 'Aiahi', 'Akzhi', 'Akaji', 'Akayi']"
Akamu,"['Akaku', 'Akaju', 'Aksmu', 'Akamy', 'Ajamu']"
Akiliano,"['Ajiliano', 'Akiliamo', 'Akiloano', 'Akiliamo', 'Aliliano']"
Akoni,"['Akonu', 'Aklni', 'Amoni', 'Akpni', 'Ajoni']"
Alaka'i,"[""Alaka'u"", ""Alaka'i"", ""Alaka'o"", ""Akaka'i"", ""Zlaka'i""]"
Alamea,"['Alameq', 'Qlamea', 'Alsmea', 'Alamwa', 'Alsmea']"
Alana,"['Qlana', 'Alzna', 'Alans', 'Alqna', 'Zlana']"
Alapai,"['Alapsi', 'Apapai', 'Alapau', 'Wlapai', 'Alapak']"
Alaula,"['Alaulz', 'Slaula', 'Alauls', 'Alauoa', 'Alqula']"
Alebana,"['Alebanq', 'Aldbana', 'Aldbana', 'Alebaba', 'Alegana']"
Alekanekeio,"['Alemanekeio', 'Alekanekeoo', 'Aoekanekeio', 'Aoekanekeio', 'Aldkanekeio']"
Ali'ikai,"[""Ali'ikwi"", ""Ali'ikqi"", ""Aki'ikai"", ""Ali'ukai"", ""Ali'kkai""]"
Alika,"['Aoika', 'Wlika', 'Wlika', 'Wlika', 'Apika']"
Alo,"['Aoo', 'Aoo', 'Alp', 'Slo', 'Zlo']"
Aloha,"['Aooha', 'Sloha', 'Sloha', 'Alohs', 'Apoha']"
Alohi,"['Zlohi', 'Slohi', 'Slohi', 'Alphi', 'Aloji']"
Aloiki,"['Akoiki', 'Aloili', 'Zloiki', 'Alouki', 'Akoiki']"
Amosa,"['Amoxa', 'Wmosa', 'Smosa', 'Smosa', 'Amosq']"
Anela,"['Anels', 'Anrla', 'Ahela', 'Anrla', 'Wnela']"
Ano,"['Aho', 'Zno', 'Sno', 'Qno', 'Sno']"
Anuenue,"['Anudnue', 'Anuenud', 'Anuebue', 'Ahuenue', 'Anuenud']"
Aolani,"['Aolahi', 'Allani', 'Aooani', 'Allani', 'Aolqni']"
Apekalmoa,"['Apekalmow', 'Wpekalmoa', 'Apekalmos', 'Apekaljoa', 'Apekalkoa']"
Apela,"['Aprla', 'Alela', 'Apeoa', 'Apeoa', 'Apelw']"
Apikaila,"['Aoikaila', 'Apikaika', 'Zpikaila', 'Apikailw', 'Apikzila']"
Aukai,"['Qukai', 'Aukak', 'Aukao', 'Auksi', 'Aukqi']"
