name,misspellings
Akau,"['Qkau', 'Akaj', 'Akzu']"
Olina,['Opina']
A'ala,"[""W'ala""]"
A'ia'i,"[""A'ua'i"", ""A'ia'k"", ""A'iw'i""]"
Ahe,"['She', 'Whe']"
Ahuahu,"['Ahuahj', 'Ahyahu', 'Ahuagu']"
Ailani,"['Ailami', 'Aklani']"
Ainakea,"['Ainakew', 'Aunakea']"
Akahi,"['Akayi', 'Akagi', 'Amahi']"
Akamu,['Akamj']
Akiliano,['Akiliamo']
Alaka'i,"[""Alama'i"", ""Aoaka'i"", ""Alama'i""]"
Alamea,"['Alamra', 'Alamda']"
Alana,['Alzna']
Alapai,"['Alalai', 'Apapai', 'Alapsi']"
Alaula,"['Alayla', 'Aoaula', 'Alsula', 'Alaupa']"
Alebana,['Alebans']
Alekanekeio,['Alekanejeio']
Ali'ikai,"[""Qli'ikai"", ""Ali'imai"", ""Ali'ijai"", ""Alk'ikai""]"
Alika,"['Akika', 'Aloka', 'Apika']"
Alo,"['Apo', 'Qlo', 'All']"
Aloha,"['Alohq', 'Aloja']"
Alohi,"['Aoohi', 'Allhi', 'Aloho', 'Qlohi']"
Amosa,"['Zmosa', 'Amosz', 'Amosz', 'Akosa']"
Ano,"['Wno', 'Qno']"
Anuenue,['Anuwnue']
Aolani,"['Aolano', 'Allani']"
Apela,"['Wpela', 'Apeka']"
Aukai,"['Aujai', 'Aujai']"
Edena,"['Edrna', 'Edens']"
Eleu,"['Elwu', 'Elej']"
Haoa,"['Baoa', 'Hapa', 'Hsoa', 'Haoq']"
Hauoli,"['Bauoli', 'Hauolk', 'Hauoki']"
Havika,"['Navika', 'Havikw', 'Hqvika']"
Hema,"['Gema', 'Hemw']"
He pohaku,['Ne pohaku']
Hoʻomana,"['Hlʻomana', 'Hoʻojana', 'Hoʻomwna']"
Iki,"['Imi', 'Iko', 'Ili']"
Inoa,"['Ihoa', 'Unoa', 'Inos', 'Inia']"
Iokepa,['Iokeps']
Iolana,"['Iooana', 'Iolsna', 'Iopana']"
Iolani,"['Iolabi', 'Iolabi', 'Iolabi']"
Ionakana,['Iinakana']
Ka'ahumanu,"[""Ka'ahimanu"", ""Ka'ahimanu"", ""Ka'ahimanu""]"
Ka'eo,"[""Kz'eo"", ""Kw'eo""]"
Kahale,"['Kajale', 'Kahake']"
Kahikū,['Kabikū']
Ka Hiwa,['Ia Hiwa']
Kaholo,"['Kahllo', 'Kqholo']"
Kai,"['Kau', 'Kau']"
Kaia,"['Kaua', 'Kaiz', 'Kaka', 'Kaua']"
Kailua,"['Iailua', 'Kailus', 'Kailja', 'Kzilua']"
Kaimana,"['Kwimana', 'Kaimanq', 'Kaimama']"
Kainalu,['Kwinalu']
Kainoa,"['Iainoa', 'Kaijoa']"
Kaipo,"['Ksipo', 'Kaioo', 'Kaipi', 'Kaipp']"
Kalākaua,"['Kalākauq', 'Kaoākaua', 'Ialākaua']"
Kalama,"['Kalzma', 'Kapama', 'Kalamq', 'Malama']"
Kalea,"['Kalwa', 'Malea', 'Kzlea']"
Kaleo,"['Kalep', 'Kalep', 'Ksleo', 'Kakeo']"
Kamea,['Lamea']
Kamehameha,"['Kajehameha', 'Kamehajeha', 'Ksmehameha']"
Kanakamana,"['Kanakamama', 'Kanakajana', 'Kanakamqna']"
Kanani,"['Kznani', 'Kahani']"
Kane,['Lane']
Kanoa,"['Janoa', 'Kamoa', 'Kanoq']"
Kapu,"['Kaou', 'Kapi']"
Kapua,['Kapja']
Kaulana,"['Kauoana', 'Kaulaja', 'Kaulzna']"
Kawika,"['Kawkka', 'Kawuka']"
Keaka,"['Keska', 'Keama', 'Keaia']"
Kealakekua,['Kwalakekua']
Kealoha,"['Kezloha', 'Kealoya', 'Kraloha']"
Keandra,"['Keandta', 'Meandra', 'Keanera']"
Keilani,['Meilani']
Kekoa,"['Kdkoa', 'Keioa']"
Kiele,"['Kielr', 'Kkele']"
Kimo,"['Kino', 'Kumo', 'Kiko', 'Kijo']"
Kimokea,"['Kimolea', 'Komokea', 'Kimokra']"
Koa,"['Moa', 'Kpa', 'Koq']"
Koa ikaika,['Koa ikaija']
Koukakala,"['Ioukakala', 'Koujakala']"
Ku`u Hoaloha `Oi,['Ku`u Hoaloha `Pi']
Ku`u Maka,"['Ku`u Maja', 'Ku`u Kaka', 'Ku`u Mzka']"
Kumulāʻau,"['Kumulāʻay', 'Kymulāʻau', 'Kjmulāʻau', 'Kumukāʻau']"
Laka,['Lala']
Lani,"['Kani', 'Pani', 'Lank', 'Lano']"
Lani-kai,"['Lani-kzi', 'Lani-kao', 'Lsni-kai', 'Lani-kai']"
Leilani,"['Leilwni', 'Peilani', 'Leilsni', 'Leilahi']"
Lokela,"['Lolela', 'Ookela', 'Lokwla', 'Lokeoa']"
Lokelani,"['Lokelabi', 'Lokelqni', 'Lokelwni', 'Lokelzni']"
Lono,"['Kono', 'Lpno', 'Loni']"
Lulua 'ina,"[""Ljlua 'ina"", ""Lukua 'ina"", ""Luluw 'ina""]"
Mahi'ai,"[""Mahi'au"", ""Maji'ai"", ""Maji'ai"", ""Mahu'ai""]"
Mahina,"['Nahina', 'Majina', 'Mahinq', 'Magina']"
Māhoe,"['Māhod', 'Māboe', 'Jāhoe', 'Māhow']"
Makana,"['Nakana', 'Makans']"
Makani,"['Mwkani', 'Makami', 'Mzkani', 'Maiani']"
Makaʻala,"['Makaʻzla', 'Makaʻalq', 'Jakaʻala', 'Makaʻsla']"
Malie,"['Mslie', 'Nalie', 'Mwlie']"
Malu,['Mali']
Mana,"['Mama', 'Maha']"
Mana'o,"[""Mana'i"", ""Kana'o"", ""Mana'l""]"
Manu,"['Nanu', 'Msnu']"
Meka,['Mwka']
Mele,"['Meke', 'Meoe', 'Meke']"
Mililani,"['Mililank', 'Mililzni', 'Mililaji']"
Moana,"['Moqna', 'Mosna', 'Moanw']"
Na'au,"[""Ja'au"", ""Na'ai"", ""Ma'au""]"
Nahele,['Nahwle']
Nani kōkī,"['Nani jōkī', 'Naji kōkī']"
Nikolao,['Nukolao']
Noelani,"['Nielani', 'Nielani', 'Boelani', 'Noelqni']"
Nohea,"['Nihea', 'Nihea', 'Nohwa', 'Nohwa']"
Oliana,"['Olisna', 'Oluana', 'Lliana', 'Opiana']"
Oliwa,"['Oliwz', 'Oluwa', 'Iliwa']"
Onaona,"['Onalna', 'Onaonw']"
Pakelika,"['Pskelika', 'Pakekika', 'Pakeloka', 'Pakelima']"
Palani,"['Pwlani', 'Palwni', 'Pwlani']"
Pele,"['Pelr', 'Pelr', 'Pwle']"
Pilialoha,"['Pilkaloha', 'Oilialoha', 'Lilialoha', 'Pilialiha']"
Pōhaku,['Pōhaki']
Polunu,"['Polubu', 'Polunj', 'Poluni']"
Pua,"['Pia', 'Pja']"
Pukalani,"['Pukalaji', 'Pjkalani', 'Pukalami']"
Pule,"['Lule', 'Puoe']"
Punahele,"['Punzhele', 'Pumahele']"
Roselani,"['Roaelani', 'Rosdlani', 'Foselani']"
Ualoheke Akua,"['Ualoheke Akuz', 'Ialoheke Akua']"
Uluwehi,['Uluwrhi']
Wai nani,"['Wai bani', 'Eai nani', 'Wak nani']"
Lee,"['Led', 'Lew']"
Wong,"['Wohg', 'Qong', 'Qong']"
Kim,"['Kik', 'Kkm']"
Chang,['Chahg']
Nakamura,"['Nalamura', 'Nakamuea']"
Chun,"['Vhun', 'Fhun', 'Chyn']"
Ching,"['Chinb', 'Chong', 'Cging', 'Dhing']"
Lau,"['Laj', 'Lsu', 'Lai']"
Yamamoto,"['Yamamotp', 'Uamamoto', 'Yamakoto']"
Lum,['Oum']
Tanaka,"['Ranaka', 'Tamaka', 'Tanwka', 'Tanwka']"
Johnson,"['Johbson', 'Johnspn', 'Johnsoj', 'Johnsom']"
Oshiro,['Oshieo']
Brown,"['Browm', 'Browh']"
Watanabe,['Watanabd']
Williams,"['Wilkiams', 'Williamz', 'Willoams', 'Wilpiams']"
Silva,['Silca']
Sato,"['Sqto', 'Wato']"
Ho,"['Bo', 'Yo', 'Yo', 'Bo']"
Ramos,"['Rajos', 'Ramps']"
Garcia,"['Barcia', 'Gwrcia', 'Gqrcia', 'Gwrcia']"
Jones,['Hones']
Fernandez,"['Fernansez', 'Fernahdez', 'Fernandwz']"
Davis,['Daviz']
Souza,"['Sluza', 'Zouza', 'Spuza']"
Martin,"['Martun', 'Martib', 'Maetin', 'Kartin']"
Chong,['Chonf']
Leong,['Oeong']
Wilson,['Wikson']
Chung,"['Chunv', 'Vhung']"
Rivera,"['Ricera', 'Fivera']"
Thompson,"['Thompsoh', 'Thokpson', 'Thompsin']"
Nguyen,"['Hguyen', 'Nguyem', 'Nvuyen', 'Nguuen']"
Pang,"['Panv', 'Psng', 'Pabg']"
Kimura,"['Jimura', 'Kimyra', 'Kimira', 'Kimira']"
Takahashi,"['Takahasji', 'Yakahashi', 'Takahashk']"
Miyashiro,"['Miyasgiro', 'Miyasgiro', 'Niyashiro']"
Suzuki,"['Suzukk', 'Auzuki', 'Wuzuki']"
Santos,"['Santod', 'Xantos']"
Fujimoto,"['Fujimpto', 'Gujimoto', 'Fujimito', 'Fujimotp']"
Chan,"['Vhan', 'Dhan']"
Yoshida,"['Yoxhida', 'Yoshidq', 'Yishida']"
Lopez,['Loprz']
Murakami,['Murakaki']
Taylor,['Taylof']
Kobayashi,"['Kobayqshi', 'Klbayashi', 'Kobwyashi', 'Kohayashi']"
Kam,['Kzm']
Tom,['Toj']
Moore,"['Moofe', 'Joore', 'Noore']"
Nishimura,"['Nishumura', 'Nushimura', 'Nishomura']"
Shimabukuro,"['Shkmabukuro', 'Xhimabukuro', 'Shimahukuro']"
Clark,"['Clatk', 'Clari', 'Claek', 'Clarl']"
Sakamoto,"['Sakanoto', 'Sakamofo', 'Sakzmoto', 'Sakamoyo']"
Nakamoto,['Nakampto']
Saito,['Sairo']
White,"['Whitw', 'Whige', 'Ehite']"
Thomas,"['Thokas', 'Tyomas']"
Torres,"['Gorres', 'Torees', 'Torees']"
Reyes,['Reyex']
Lam,['Lqm']
Au,"['Aj', 'Qu']"
Rodrigues,"['Eodrigues', 'Rodriguds', 'Rodrihues']"
Robinson,['Roginson']
Castillo,['Castullo']
Miyamoto,"['Miyajoto', 'Miyamoti', 'Miyampto', 'Miyamotp']"
Carvalho,"['Carvakho', 'Carvalhi', 'Darvalho', 'Carvwlho']"
Harris,"['Hareis', 'Hareis', 'Haeris']"
Hashimoto,['Hashkmoto']
Nelson,['Nelaon']
Fong,"['Dong', 'Flng']"
Yuen,['Uuen']
Adams,"['Wdams', 'Sdams']"
Chen,"['Chrn', 'Cheb', 'Vhen']"
Ikeda,"['Ukeda', 'Ikefa', 'Ukeda']"
Allen,"['Allej', 'Allrn', 'Allej', 'Aolen']"
Sasaki,"['Sasako', 'Xasaki', 'Zasaki', 'Saszki']"
Pascua,"['Pascus', 'Pascuq', 'Pasfua']"
Nakagawa,"['Nakagzwa', 'Naksgawa']"
Freitas,"['Frritas', 'Vreitas', 'Freiyas']"
Nakasone,"['Nakasine', 'Najasone']"
Baker,['Bakef']
Tamashiro,"['Famashiro', 'Tqmashiro', 'Tanashiro', 'Gamashiro']"
Lewis,"['Leeis', 'Leqis']"
Flores,"['Flotes', 'Florea', 'Clores', 'Fllres']"
Yamashita,"['Yamashuta', 'Yamashitz', 'Yamasnita']"
Castro,"['Csstro', 'Fastro']"
Matsuda,['Mqtsuda']
Hall,"['Gall', 'Hapl', 'Halo']"
Li,['Lu']
Sanchez,"['Sajchez', 'Sanchwz', 'Sanchdz', 'Sanchwz']"
Kato,['Kwto']
Perreira,"['Perreifa', 'Perreura']"
Fujii,"['Fujio', 'Fujik']"
Goo,"['Gop', 'Gop', 'Too']"
Yamaguchi,['Yamqguchi']
Sakai,"['Saiai', 'Salai', 'Sakau', 'Sajai']"
Bautista,"['Bauyista', 'Bqutista', 'Bzutista', 'Nautista']"
King,"['Kimg', 'Kkng']"
Jackson,"['Jackspn', 'Jacksoj']"
Pascual,"['Pqscual', 'Pascusl']"
Abe,"['Sbe', 'Zbe', 'Qbe']"
Campbell,"['Canpbell', 'Cajpbell', 'Vampbell']"
Martinez,"['Msrtinez', 'Martinwz']"
Chow,['Choe']
Pacheco,"['Pachecl', 'Pachefo', 'Pachdco']"
Phillips,['Lhillips']
Santiago,['Ssntiago']
Hill,"['Hikl', 'Hiol']"
Ng,"['Nv', 'Hg', 'Nf', 'Bg']"
Aquino,"['Aqiino', 'Aquimo']"
Harada,"['Jarada', 'Barada', 'Hqrada']"
Tran,"['Ttan', 'Yran', 'Fran']"
Hirata,"['Hkrata', 'Hirats']"
Shiroma,"['Shirona', 'Shiroka']"
Ono,['Oni']
Walker,"['Walkef', 'Walkwr', 'Walkdr', 'Wqlker']"
Nakashima,['Nalashima']
Scott,"['Zcott', 'Scotg']"
Arakawa,"['Arakaww', 'Qrakawa']"
Kawamoto,"['Jawamoto', 'Kawamogo']"
Perez,"['Perwz', 'Prrez', 'Pefez']"
Hernandez,['Herbandez']
Manuel,"['Mznuel', 'Kanuel', 'Manueo', 'Manuwl']"
Morris,"['Korris', 'Motris']"
Roberts,"['Robertz', 'Roherts', 'Robetts', 'Roverts']"
Green,['Breen']
Peterson,"['Oeterson', 'Petetson']"
Andrade,"['Andradr', 'Andrqde', 'Andeade', 'Ajdrade']"
Tamura,"['Ramura', 'Tqmura']"
Hong,"['Bong', 'Bong']"
Aoki,"['Aoku', 'Zoki', 'Aiki']"
Gonsalves,"['Gonsqlves', 'Gojsalves', 'Gonsapves', 'Gonsaoves']"
Teruya,"['Twruya', 'Teruta', 'Teruha']"
