name,misspellings
Ailana,"['Ailanz', 'Ailanw', 'Ailaba', 'Zilana', 'Wilana']"
Akau,"['Akwu', 'Akai', 'Akay', 'Wkau', 'Skau']"
Olina,"['Opina', 'Opina', 'Ooina', 'Okina', 'Oliba']"
A'ala,"[""A'alz"", ""A'ala"", ""A'sla"", ""A'ala"", ""A'apa""]"
A'ia'i,"[""A'ka'i"", ""A'ia'u"", ""A'ia'i"", ""A'ia'u"", ""A'ia'i""]"
Ahe,"['Abe', 'Whe', 'She', 'Ahd', 'Ahd']"
Ahonui,"['Whonui', 'Whonui', 'Abonui', 'Qhonui', 'Ahonyi']"
Ahuahu,"['Ahyahu', 'Shuahu', 'Ahuagu', 'Ahuahi', 'Anuahu']"
Ailani,"['Ailaji', 'Aioani', 'Aolani', 'Ailsni', 'Aipani']"
Ainakea,"['Aihakea', 'Aonakea', 'Ainzkea', 'Ainakes', 'Aijakea']"
Akahi,"['Alahi', 'Akaji', 'Akabi', 'Akagi', 'Ajahi']"
Akamu,"['Akamj', 'Akaku', 'Akaku', 'Skamu', 'Akamy']"
Akiliano,"['Akilianp', 'Akuliano', 'Akilizno', 'Akilkano', 'Akilkano']"
Akoni,"['Wkoni', 'Ajoni', 'Zkoni', 'Aloni', 'Zkoni']"
Alaka'i,"[""Alakw'i"", ""Akaka'i"", ""Alska'i"", ""Alqka'i"", ""Akaka'i""]"
Alamea,"['Aoamea', 'Akamea', 'Alamda', 'Alamez', 'Alamew']"
Alana,"['Alaja', 'Qlana', 'Alqna', 'Apana', 'Apana']"
Alapai,"['Alzpai', 'Akapai', 'Akapai', 'Qlapai', 'Alapwi']"
Alaula,"['Alayla', 'Alauls', 'Alsula', 'Alsula', 'Alauoa']"
Alebana,"['Alebzna', 'Apebana', 'Wlebana', 'Alevana', 'Wlebana']"
Alekanekeio,"['Aleianekeio', 'Alelanekeio', 'Alekznekeio', 'Alekanekeoo', 'Alekamekeio']"
Ali'ikai,"[""Ali'iiai"", ""Aoi'ikai"", ""Ali'ikai"", ""Alo'ikai"", ""Sli'ikai""]"
Alika,"['Alima', 'Aliks', 'Alima', 'Alila', 'Zlika']"
Alo,"['All', 'Slo', 'Alp', 'Wlo', 'Slo']"
Aloha,"['Aloga', 'Allha', 'Wloha', 'Allha', 'Wloha']"
Alohi,"['Alphi', 'Alohu', 'Alphi', 'Aoohi', 'Aoohi']"
Aloiki,"['Aloiji', 'Alpiki', 'Zloiki', 'Aloiji', 'Aloiko']"
Amosa,"['Smosa', 'Amlsa', 'Anosa', 'Amlsa', 'Amosq']"
Anela,"['Andla', 'Aneoa', 'Abela', 'Anelw', 'Anels']"
Ano,"['Abo', 'Anp', 'Qno', 'Ajo', 'Sno']"
Anuenue,"['Amuenue', 'Anuejue', 'Anuebue', 'Anuenie', 'Ajuenue']"
Aolani,"['Aolsni', 'Aopani', 'Aolanu', 'Zolani', 'Aolabi']"
Apekalmoa,"['Qpekalmoa', 'Apekalnoa', 'Apekakmoa', 'Apekzlmoa', 'Apekakmoa']"
Apela,"['Apelw', 'Aoela', 'Apepa', 'Spela', 'Apdla']"
Apikaila,"['Zpikaila', 'Apikaioa', 'Apikakla', 'Apukaila', 'Alikaila']"
Aukai,"['Aukzi', 'Wukai', 'Aykai', 'Aukao', 'Wukai']"
Edena,"['Rdena', 'Edeha', 'Edenz', 'Ddena', 'Erena']"
Ekewaka,"['Ekewwka', 'Ekewaia', 'Ekewzka', 'Ekewaia', 'Ekewaks']"
Eleu,"['Eoeu', 'Dleu', 'Ekeu', 'Wleu', 'Wleu']"
Haleakala,"['Haleakapa', 'Haleakwla', 'Haleakalq', 'Hakeakala', 'Baleakala']"
Hali'a,"[""Haki'a"", ""Haoi'a"", ""Halo'a"", ""Hali'z"", ""Hali'w""]"
Hanohano,"['Hanobano', 'Hwnohano', 'Hamohano', 'Hanobano', 'Nanohano']"
Haoa,"['Haoz', 'Jaoa', 'Hala', 'Naoa', 'Hzoa']"
Hauoli,"['Hauolu', 'Hayoli', 'Hauili', 'Haioli', 'Hwuoli']"
Havika,"['Havuka', 'Havkka', 'Haviia', 'Gavika', 'Havima']"
Heiau,"['Heiay', 'Heizu', 'Heisu', 'Heoau', 'Heiwu']"
Hema,"['Gema', 'Gema', 'Jema', 'Hemw', 'Hemz']"
He pohaku,"['He pogaku', 'He pohaky', 'He pohaki', 'He pohaki', 'He pohaju']"
Hiapo,"['Hiapi', 'Giapo', 'Hiapi', 'Hiaoo', 'Hiwpo']"
