Name,freq
Mary,1
Helen,37
Alice,2
Rose,10
Violet,46
Elizabeth,18
Annie,20
Margaret,44
Dorothy,24
Florence,44
Lucy,33
Shizuko,15
Yoshiko,16
Emma,45
Mildred,42
Ruth,48
Agnes,15
Ann,19
Chiyoko,41
Edith,38
Katherine,44
Lillian,6
Cecilia,46
Eva,23
Flora,25
Mabel,29
Marie,5
Beatrice,38
Betty,11
Ellen,46
Esther,36
Frances,10
Gladys,46
Haruko,26
Josephine,24
Julia,23
Laura,3
Louise,32
Lucille,3
Lydia,2
Mary,21
Helen,41
Margaret,32
Rose,20
Alice,43
Lillian,17
Emily,12
Sarah,11
Josephine,10
Ethel,28
Irene,10
Shizuko,16
Annie,45
Florence,30
Mabel,24
Marie,29
Violet,42
Dorothy,16
Gladys,18
Julia,6
Louise,12
Shizue,47
Ayako,32
Eleanor,12
Elizabeth,6
Eva,48
Frances,18
Harriet,43
Hatsuko,20
Katherine,48
Misao,8
Agnes,4
Beatrice,48
Bernice,41
Ellen,12
Elsie,8
Emma,7
Grace,22
Haruko,10
Lily,14
Martha,41
Masako,9
Anna,4
Asako,39
Caroline,5
Edna,1
Hazel,16
Jane,7
Lucy,30
Mildred,29
Tsuruko,39
Virginia,32
Mary,7
Alice,5
Helen,8
Rose,29
Margaret,23
Elizabeth,13
Julia,21
Lillian,38
Annie,42
Dorothy,15
Agnes,21
Mildred,33
Shizuko,3
Florence,2
Elsie,17
Esther,25
Ethel,42
Beatrice,11
Katherine,33
Haruko,3
Hazel,5
Kimiko,45
Lily,32
Masako,48
Ruth,27
Doris,27
Emily,17
Sarah,38
Shizue,15
Thelma,25
Violet,43
Anna,16
Catherine,22
Cecilia,1
Chiyoko,14
Edith,43
Edna,30
Gladys,30
Irene,10
Nancy,14
Betty,11
Eleanor,32
Emma,22
Ida,22
Marie,8
Yoshiko,6
Adeline,15
Caroline,37
Clara,13
Ellen,25
Gertrude,22
Grace,24
Hilda,43
Hisako,5
Minnie,39
Ayako,40
Barbara,26
Bernice,25
Evelyn,35
Fumiko,20
Harriet,39
Henrietta,20
Jennie,48
Kimiyo,21
Louise,26
Lucy,19
Martha,2
Sophie,30
Theresa,27
Tsuruko,14
Yaeko,28
Mary,18
Margaret,37
Alice,11
Dorothy,31
Violet,40
Rose,26
Yoshiko,21
Helen,40
Florence,20
Elizabeth,26
Ethel,42
Mildred,11
Haruko,34
Masako,21
Agnes,20
Julia,15
Ruth,32
Mabel,6
Shizue,22
Edna,27
Gladys,1
Hatsuko,17
Katherine,40
Lillian,3
Shizuko,27
Thelma,27
Annie,6
Betty,27
Doris,44
Edith,43
Emily,14
Esther,15
Frances,2
Irene,43
Anna,42
Fumiko,31
Lucille,21
Lydia,3
Beatrice,17
Cecilia,4
Eleanor,13
Elsie,37
Eva,28
Evelyn,9
Grace,32
Harriet,33
Maria,17
Tsuruko,6
Chiyoko,35
Hilda,20
Lucy,12
Misao,1
Nancy,30
Toshiko,39
Vivian,14
Cecelia,44
Christine,40
Dolores,8
Flora,29
Jane,17
Josephine,4
Louise,20
Marion,11
Rachel,24
Sarah,24
Virginia,44
Adeline,3
Ayako,16
Bernice,45
Carmen,14
Charlotte,33
Clara,45
Dora,42
Emma,2
Jean,39
Kikue,33
Kiyoko,39
Laura,41
Marjorie,9
Minnie,29
Mitsuko,28
Sadako,15
Victoria,23
Yasuko,44
Mary,37
Helen,15
Alice,21
Elizabeth,24
Dorothy,15
Margaret,28
Rose,3
Florence,12
Mildred,8
Shizuko,24
Agnes,30
Lillian,43
Ruth,28
Beatrice,22
Violet,7
Masako,27
Eleanor,23
Elsie,36
Grace,19
Laura,41
Doris,27
Edith,31
Ethel,4
Gladys,39
Shizue,22
Yoshiko,6
Bessie,13
Clara,19
Haruko,23
Tsuruko,38
Ellen,6
Mabel,31
Daisy,31
Emily,40
Eva,48
Annie,32
Edna,45
Esther,44
Julia,48
Katherine,43
Lily,25
Louise,3
Virginia,16
Chiyoko,38
Hilda,30
Josephine,18
Mitsue,27
Betty,15
Evelyn,47
Frances,3
Irene,9
Kiyoko,21
Marie,48
Sally,47
Thelma,46
Yoshie,23
Catherine,30
Harriet,39
Hazel,7
Lucy,46
Sarah,2
Anna,6
Barbara,18
Bernice,22
Flora,8
Fumiko,33
Hatsue,13
Ida,34
Kikue,16
Masae,20
Masayo,5
Mitsuko,23
Nancy,21
Nora,27
Pearl,36
Stella,33
Sueko,1
Teruko,26
Toshiko,37
Adeline,47
Ayako,40
Betsy,19
Caroline,14
Chiyo,26
Christina,37
Christine,11
Fujiko,11
Fusae,22
Harue,14
Hattie,8
Isabel,26
Kimiko,44
Lucille,29
Lydia,31
Madeline,35
Maria,23
Martha,48
Yukie,34
Mary,40
Helen,12
Dorothy,9
Alice,30
Margaret,40
Rose,1
Florence,39
Yoshiko,8
Elsie,2
Shizue,35
Agnes,1
Annie,41
Elizabeth,38
Beatrice,14
Violet,31
Betty,13
Clara,41
Ethel,9
Lillian,25
Haruko,14
Mildred,12
Masako,42
Chiyoko,8
Gladys,16
Katherine,12
Edna,6
Eleanor,39
Emily,37
Grace,25
Hilda,21
Irene,4
Mabel,48
Shizuko,28
Tsuruko,41
Julia,48
Marie,33
Minnie,41
Doris,23
Evelyn,15
Marion,28
Esther,8
Anna,32
Dolores,43
Frances,31
Josephine,18
Lucy,2
Nancy,45
Ruth,45
Virginia,6
Hannah,24
Harue,27
Kikue,37
Lily,15
Sadako,22
Cecilia,36
Eva,21
Fumiko,45
Gertrude,13
Hatsue,43
Kiyoko,46
Louise,29
Misao,21
Mitsuko,29
Nora,1
Sarah,12
Thelma,37
Toshiko,11
Jane,38
Kimiko,45
Pearl,28
Ann,26
Flora,11
Hanako,22
Ida,42
Jessie,41
May,15
Mitsue,17
Bernice,30
Edith,46
Ellen,18
Hazel,4
Jean,8
Jennie,29
Laura,41
Lucille,35
Masayo,26
Patsy,33
Yoshie,33
Yuriko,28
Bertha,43
Caroline,44
Daisy,21
Ella,37
Hideko,42
Kay,21
Kikuyo,33
Kimie,28
Martha,18
Ruby,46
Sumie,30
Theresa,1
Victoria,29
Amy,46
Asako,15
Ayako,34
Carmen,39
Chiyono,2
Christine,1
Constance,36
Dora,24
Harriet,30
Hatsuko,23
Janet,31
Kimiyo,37
Madeline,22
Mae,38
Marian,27
Matilda,47
Natsuko,33
Sueko,47
Yaeko,12
Yasuko,37
Yukiko,22
Adeline,30
Ah,36
Aiko,23
Barbara,47
Charlotte,13
Chieko,22
Emma,43
Fumie,30
Fusae,13
Harumi,9
Hatsuyo,42
Hisako,21
Kinue,37
Kiyono,16
Lydia,48
Maria,13
Masae,25
Miriam,10
Nobuko,37
Pauline,20
Rosaline,10
Rosie,13
Sakae,39
Sally,35
Shigeko,21
Sophie,28
Teruko,43
Tomiko,1
Tsurue,29
Mary,2
Helen,25
Margaret,37
Dorothy,22
Rose,3
Elizabeth,40
Alice,24
Mildred,19
Violet,31
Lillian,40
Mabel,35
Elsie,15
Florence,7
Ruth,9
Beatrice,1
Doris,33
Shizue,3
Gladys,6
Yoshiko,28
Agnes,2
Edith,15
Julia,41
Kiyoko,14
Shizuko,23
Ellen,17
Ethel,25
Annie,15
Betty,15
Irene,4
Thelma,2
Clara,25
Evelyn,9
Frances,40
Sarah,27
Bertha,20
Haruko,46
Masako,40
Edna,44
Katherine,13
Kikue,44
Chiyoko,31
Emma,19
Esther,39
Hazel,32
Louise,1
Eva,44
Jane,30
Nancy,8
Bernice,16
Gertrude,10
Hilda,16
Lucy,8
Bessie,43
Eleanor,9
Harriet,30
Jean,39
Lily,23
Matsuko,31
Tsuruko,14
Grace,29
Hatsuko,1
Toshiko,18
Virginia,18
Ayako,42
Elaine,18
Emily,2
Ida,25
Kimiko,18
Yoshie,31
Flora,46
Gloria,5
Martha,40
Yukie,6
Charlotte,37
Janet,3
Marie,21
Misao,23
Caroline,32
Fumie,10
Laura,42
Marjorie,26
Shigeko,45
Yaeko,18
Anna,15
Asako,43
Barbara,37
Cecilia,24
Dora,2
Ella,11
Harue,40
Josephine,42
Lucille,10
Mae,34
Nobuko,25
Sadako,16
Sueko,4
Tatsuko,8
Theresa,26
Vivian,44
Yukiko,10
Aiko,22
Alyce,22
Angeline,19
Carrie,29
Dolores,40
Fumiko,36
Hatsue,23
Juanita,33
Kimie,3
Lydia,16
Masayo,34
Matsue,20
Minnie,22
Mitsuko,23
Mitsuyo,29
Peggy,1
Adeline,33
Akiko,8
Ann,28
Antoinette,35
Catherine,22
Christine,21
Fujie,32
Hanako,1
Hideko,10
Jeanette,48
Madeline,33
Masae,14
Rachel,32
Rita,24
Ruby,30
Sally,36
Sophie,29
Tatsue,24
Chiyo,17
Christina,17
Eunice,41
Fusae,34
Fusako,11
Geraldine,33
Hisako,28
Isabel,43
Itsuko,8
Kimiyo,5
Maria,3
Marion,25
Matilda,4
Miriam,6
Mitsue,22
Miyoko,30
Myrtle,8
Norma,17
Pearl,20
Stella,42
Sue,42
Teruko,42
